id,desc,shortDesc,time,value,reward,wave
1,Defeat <color=#2FDD1F>20</color> enemies.,,30,20,5_100,0
2,Defeat <color=#2FDD1F>30</color> enemies.,,30,30,5_150,0
3,Deal <color=#2FDD1F>10K</color> DMG.,,30,10000,5_100,6
4,Deal <color=#2FDD1F>100K</color> DMG.,,30,100000,5_150,16
5,Deal <color=#2FDD1F>1000K</color> DMG.,,30,1000000,5_200,26
6,Purchase <color=#2FDD1F>1 weapon</color> from the shop.,,30,1,6_10,0
7,Purchase <color=#2FDD1F>2 weapon</color> from the shop.,,30,2,6_20,0
8,Purchase <color=#2FDD1F>3 weapon</color> from the shop.,,30,3,6_40,6
9,Equip <color=#2FDD1F>5 different</color> weapons.,,30,5,5_100,11
10,Equip <color=#2FDD1F>2 identical</color> weapons.,,30,2,5_50,0
11,Equip <color=#2FDD1F>3 identical</color> weapons.,,30,3,5_100,11
12,Equip <color=#2FDD1F>4 identical</color> weapons.,,30,4,5_150,16
13,Equip <color=#2FDD1F>5 identical</color> weapons.,,30,5,5_200,21
17,Summon with <color=#2FDD1F>30%</color> off.,Summon Deal,30,0,,0
18,Forge with <color=#2FDD1F>30%</color> off.,Forge Deal,30,0,,0
