id,name,hero,desc
101,猛击,剑士,攻击时，15%概率造成一次攻击力150%的斩击(单体)
102,连射,射手,攻击时，15%概率射出2支箭，持续3s
103,小型法术,法师,攻击时，25%概率射出2支箭
104,暴砍,斧手,每攻击三次必定暴击
105,雪球,雪人,攻击附带20%减速效果，持续5s
106,圣光,圣骑士,攻击时，15%概率提升周围单位20%的攻击力，持续5s
107,锁定,刺客,攻击时，10%概率造成0.8s[眩晕]
108,暴走,机器人,攻击时，35%概率使敌人获得[易伤]，持续5s
109,威慑,格斗冠军,攻击范围内的敌人移动速度减少30%
110,昏迷拳,格斗冠军,攻击时，25%概率造成1s[眩晕]
111,魔法领域,艳后,每1s对范围内的敌人造成攻击力150%的伤害
112,黑魔法,艳后,攻击时，15%概率对范围内的敌人造成攻击力500%的伤害
113,号令,精灵王,我方单位攻速增加20%
114,远射,精灵王,每1s释放三支箭对范围内的敌人造成攻击力500%的伤害
115,剑雨,精灵王,攻击时，15%概率对范围内的敌人造成攻击力1000%的伤害
116,自然洪流,泰坦,攻击范围内的敌人获得[易伤]
117,力量涌动,泰坦,杀死敌人后攻击力翻倍，持续2S
118,震荡波,泰坦,攻击时，15%概率造成2s[眩晕]
119,吞噬,老虎机,每0.5s触发一次，5%概率直接杀死攻击范围内的随机敌人
120,漏电,老虎机,第7次攻击变为必定暴击的范围伤害
121,777,老虎机,攻击时，10%概率获得10枚金币
122,圆桌精神,亚瑟王,我方单位攻击增加10%，暴击增加5%
123,英雄斩击,亚瑟王,攻击时，15%概率生成一道剑气，对剑气上的敌人造成攻击力1500%的伤害，并附加30%的减速效果，持续5s
124,石中剑,亚瑟王,自身暴伤增加50%，装备的剑类武器等级越高提升越大，10级为200%
125,能量汲取,伏地魔,杀死敌人后，攻击力+10
126,灵魂禁锢,伏地魔,攻击时，10%概率对范围内的敌人造成攻击力2000%的伤害，并禁锢3s
127,黑暗契约,伏地魔,每10s召唤6个扭曲物质落于随机位置持续6s，对接触到的敌人造成600%的伤害，并附加20%的减速效果
128,祝福诗,丘比特,我方单位攻击增加5%，攻速增加5%，暴伤增加5%
129,爱的庇护,丘比特,场上敌人数量大于80时，立即减少至60（生效一次）
130,心灵共振,丘比特,攻击时，15%概率随机强化一名我方单位。攻击+10%，暴击+5%，持续5s
131,千锤百炼,武器大师,锻造时至少获得2把武器
132,锻造达人,武器大师,开启幸运合成器时，跨级合成几率变高，失败几率变低
133,武器风暴,武器大师,攻击时，15%概率对范围内的敌人造成攻击力1000%的伤害
134,巨龙降临,深渊巨龙,成功召唤时，对所有敌人造成攻击力3000%的伤害
135,护巢意识,深渊巨龙,场上敌人数量大于50时，攻击提升20%
136,深渊咆哮,深渊巨龙,攻击时，10%概率对范围内的敌人造成攻击力1500%的伤害，并追加其最大生命值10%的伤害
137,火焰吐息,深渊巨龙,每攻击20次，喷射三个火球，每个火球对范围内的敌人造成攻击力2500%的伤害
138,响指,灭霸猫咪,每波WAVE开始时5%的概率消灭一半敌人
139,时间掌控,灭霸猫咪,每波WAVE时长增加3s
140,无限,灭霸猫咪,每8s触发一次，普攻将替换为攻击力1000%的范围伤害，直到有敌人阵亡
