level,exp
1,0
2,400
3,800
4,1200
5,1600
6,2000
7,2400
8,2800
9,3200
10,3600
11,4100
12,4600
13,5100
14,5600
15,6100
16,6600
17,7100
18,7600
19,8100
20,8600
21,9300
22,10000
23,10700
24,11400
25,12100
26,12800
27,13500
28,14200
29,14900
30,15600
31,16500
32,17400
33,18300
34,19200
35,20100
36,21000
37,21900
38,22800
39,23700
40,24600
41,25800
42,27000
43,28200
44,29400
45,30600
46,31800
47,33000
48,34200
49,35400
50,36600
51,38200
52,39800
53,41400
54,43000
55,44600
56,46200
57,47800
58,49400
59,51000
60,52600
61,54700
62,56800
63,58900
64,61000
65,63100
66,65200
67,67300
68,69400
69,71500
70,73600
71,76300
72,79000
73,81700
74,84400
75,87100
76,89800
77,92500
78,95200
79,97900
80,100600
81,104100
82,107600
83,111100
84,114600
85,118100
86,121600
87,125100
88,128600
89,132100
90,135600
91,140100
92,144600
93,149100
94,153600
95,158100
96,162600
97,167100
98,171600
99,176100
100,180600
